央视频道,#genre#
超级体育,http://39.134.67.7:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225715/index.m3u8
超级电影,http://39.134.13.35:6610/000000001000/1000000003000012426/index.m3u8?
超级电影,http://39.134.67.7:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225717/index.m3u8
超级电视剧,http://39.134.13.35:6610/000000001000/1000000006000268003/index.m3u8?
超级电视剧,http://39.134.67.7:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225716/index.m3u8
中国功夫,http://39.134.13.35:6610/000000001000/5897056882324761054/index.m3u8?
中国功夫,http://39.134.67.7:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225681/index.m3u8
军旅剧场,http://39.134.13.35:6610/000000001000/7485075951068666323/index.m3u8?
军旅剧场,http://39.134.67.7:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225676/index.m3u8
惊悚悬疑,http://39.134.13.35:6610/000000001000/7151256057701199617/index.m3u8?
惊悚悬疑,http://39.134.67.7:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225665/index.m3u8
潮妈辣婆,http://39.134.13.35:6610/000000001000/6516734029835465177/index.m3u8?
潮妈辣婆,http://39.134.67.7:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225685/index.m3u8
海外剧场,http://39.134.67.2:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225671/index.m3u8
精品体育,http://39.134.13.35:6610/000000001000/6460382139625130259/index.m3u8?
精品体育,http://39.134.67.7:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225674/index.m3u8
精品纪录,http://39.134.13.35:6610/000000001000/6298506997017621594/index.m3u8?
精品纪录,http://39.134.67.7:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225672/index.m3u8
精品大剧,http://39.134.13.35:6610/000000001000/7882297361445410858/index.m3u8?
精品大剧,http://39.134.67.7:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225670/index.m3u8
军事评论,http://39.134.13.35:6610/000000001000/5822616274253344775/index.m3u8?
军事评论,http://39.134.67.7:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225668/index.m3u8
明星大片,http://39.134.13.35:6610/000000001000/1000000004000019008/index.m3u8?
明星大片,http://39.134.67.7:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225664/index.m3u8
